user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,материнская плата mini-itx,149,https://dns-shop.by,"Купить Материнские платы Mini-ITX по самым выгодным ценам в интернет-магазине DNS. Широкий выбор товаров и акций. В каталоге можно ознакомиться с ценами, отзывами, фотографиями и подробными характеристиками товаров, а также подобрать Материнские платы Mini-ITX по параметрам.",yandex,['feedback@dns-shop.by'],"['+375172344265', '+375172411629', '+375172725346']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://1k.by,Компьютерная техника Материнские платы Материнские платы mini-ITX.,yandex,"['admin@1k.by', 'alena@1k.by', 'info@1k.by']","['+375172180082', '+375172979488', '+375173737456', '+375173743973', '+375291466000', '+375297036699']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://3dnews.ru,"⇡ #Особенности материнских плат mini-ITX. На самом деле существует два форм-фактора материнских плат, которые соответствуют типоразмеру 170 × 170 мм.",yandex,"['admin@3dnews.ru', 'alexa@3dnews.ru', 'news@3dnews.ru', 'nivnikov@3dnews.ru', 'reclama@3dnews.ru', 'yury@3dnews.ru']",['+74959882090'],30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://andpro.ru,"Материнские платы ATX, Micro-ATX, Mini-ITX остаются самыми востребованными на рынке.",yandex,"['birkos@andpro.ru', 'bsv@andpro.ru', 'igor@andpro.ru', 'info@andpro.ru', 'ivan@andpro.ru', 'kirill@andpro.ru', 'penzeva@andpro.ru', 'sav@andpro.ru']","['+74955454870', '+78007077815']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://kns.ru,,yandex,['sales@kns.ru'],"['+74956262020', '+79723033526']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://ipc2u.by,,yandex,['imc@ipc2u.by'],"['+375172703300', '+375293195265']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://fcenter.ru,"Впрочем, определённые особенности у Mini-ITX-плат для LGA1155 всё-таки есть. Так, для типовых компактных материнских плат LGA1155 производителями обычно выбирается набор логики Intel H67 Express. С точки зрения поддержки внешних интерфейсов этот чипсет аналогичен старшему Intel Z68, то есть он позволяет использовать встроенное в Sandy Bridge графическое ядро Intel HD Graphics.",yandex,['webmaster@fcenter.ru'],"['+74959256447', '+79267511284']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://xcom-shop.ru,,yandex,['rar@xcom.ru'],"['+74957999669', '+78127401110']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://miniitxboard.com,"I. Введение: Что такое плата Mini-ITX? Когда вы собираете компьютер, одной из самых важных частей является материнская плата. Думайте о ней как о главной печатной плате, которая соединяет все остальное: мозг (процессор), память (ОЗУ) и видеокарту. Материнские платы бывают разных размеров, и одна из самых маленьких называется Mini-ITX, или mITX для краткости. Эти доски совсем крошечные, всего 6,7 на 6,7 дюйма (17×17 см).",yandex,['info@icmanufacturer.com'],[],30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://serverflow.ru,"Micro-ATX представляет собой компактный форм-фактор размером 24.4 на 24.4 см (9.6 на 9.6 дюймов), меньший, чем ATX, но больший, чем Mini-ITX. Такая материнская плата может быть легко установлена в mid tower, full tower.",yandex,['info@serverflow.ru'],"['+78002227001', '+79934834956']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://dtf.ru,"Изначально я планировал ryzen 5600 и какую-нибудь mini-itx плату на b550-x570 чипсете. Процессор был в скором времени приобретён за 106$ и отложен на полочку, так как найти материнскую плату оказалось сложнее, чем место в трамвае в 6 утра едущего на базар.",yandex,"['editors@dtf.ru', 'moderation@dtf.ru', 'philipp@cmtt.ru', 'sales@cmtt.ru', 'support@dtf.ru', 'u003eeditors@dtf.ru', 'u003emoderation@dtf.ru', 'u003ephilipp@cmtt.ru', 'u003esales@cmtt.ru', 'u003esupport@dtf.ru', 'u003evlad@cmtt.ru', 'vlad@cmtt.ru']",['+77714961161'],30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://i-on.by,"Купить Материнские платы Mini-ITX в Могилёве с доставкой и официальной гарантией. Низкие цены на Материнские платы Mini-ITX в интернет магазине в Могилёве. Возможность купить Материнские платы Mini-ITX в рассрочку или кредит, а также по безналичному расчёту для организаций. Отзывы от покупателей.",yandex,['ion.mogilev@gmail.com'],"['+375222246088', '+375293923920', '+375333923920']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://alikson.ru,,yandex,"['0e33a2bf93c34e43957152c5ca2b68ac@glitchtip.alikson-tech.ru', 'business@alikson.ru', 'claim@alikson.ru', 'order@alikson.ru']","['+74951505223', '+74955131262', '+74995003803']",30-09-2025 22:21:54
3,материнская плата mini-itx,149,https://ixbt.com,"Тестируя материнские платы, ставшие в последние годы весьма разнообразными, мы обычно ограничиваемся лишь кратким упоминанием об их типе и габаритных размерах.",yandex,['info@ixbt.com'],['+74995190095'],30-09-2025 22:21:54
3,материнская плата mini-itx,225,https://kns.ru,,yandex,['sales@kns.ru'],"['+74956262020', '+79723033526']",30-09-2025 22:21:54
3,материнская плата mini-itx,225,https://micro-line.ru,"Материнские платы MINI-ITX - продажа по низким ценам в Крыму, Севастополе, Симферополе, Феодосии, Евпатории, Джанкое с доставкой в интернет-магазине Микролайн.",yandex,['e-shop@micro-line.ru'],"['+73652777356', '+78007751356', '+78612051481', '+78633033071', '+79780907786', '+79781000259']",30-09-2025 22:21:54
3,материнская плата mini-itx,225,https://alikson.ru,,yandex,"['0e33a2bf93c34e43957152c5ca2b68ac@glitchtip.alikson-tech.ru', 'accountant@alikson.ru', 'business@alikson.ru', 'claim@alikson.ru', 'order@alikson.ru']","['+74951094007', '+74951505223', '+74955131262', '+74995003803', '+79250888101', '+79715402770']",30-09-2025 22:21:54
3,материнская плата mini-itx,225,https://ipc2u.ru,"Каталог промышленных материнских (процессорных) плат форм-фактора Mini-ITX и Thin Mini-ITX на процессорах Intel от Advantech, Portwell, Axiomtek, ASRock Industrial, IBASE, IEI, AAEON и др.",yandex,['sales@ipc2u.ru'],"['+74952320207', '+74956428244']",30-09-2025 22:21:54
