user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,этикетка производитель,149,https://supershtrih.ru,Почему услуга производства этикеток пользуется высоким спросом.,yandex,['aztek-info@supershtrih.ru'],"['+74951234501', '+78005002529', '+79801518043']",01-10-2025 16:32:19
3,этикетка производитель,149,https://pakupak.by,Компания «Фортуна Траст» предлагает услуги печати и производства самоклеящихся этикеток на заказ в Минске.,yandex,['info@pakupak.by'],"['+375173300443', '+375445673312']",01-10-2025 16:32:19
3,этикетка производитель,149,https://bosla.ru,"Высота этикетки для принтера этикеток может быть любой. Но ширина и диаметр втулки стандартные, предусмотренные производителем печатающей техники. Если вам нужно купить термопринтер и этикетки впервые, то сначала выбираем необходимый размер этикетки под штрих код, и потом выбираем модель принтера этикеток под заданные параметры.",yandex,['info@bosla.ru'],"['+74732112979', '+74951092979', '+78122092979', '+79999999999']",01-10-2025 16:32:19
3,этикетка производитель,149,https://gala-poly.by,"В на сайте «ГалаПолиграф» вы сможете заказать самоклеящиеся этикетки в Беларуси по доступной цене. Данное изделие представляет собой этикетку из ткани или бумаги с клеевым слоем. Он крепится к продукту и может содержать основную информацию о составе, сроках хранения и производителе.",yandex,"['dasha@gala-poly.ru', 'diana@gala-poly.com', 'info@gala-poly.com', 'julia@gala-poly.com', 'olga@gala-poly.com', 'yulia@gala-poly.com']",['+375298285555'],01-10-2025 16:32:19
3,этикетка производитель,149,https://comint.by,Производство самоклеющейся этикетки у нас функционирует вот уже почти 30 лет!,yandex,"['director@comint.by', 'irina@comint.by', 'zakaz@comint.by']","['+375293929004', '+375297007767']",01-10-2025 16:32:19
3,этикетка производитель,149,https://etiket-ka.by,использование стандартных этикеток и упаковки ﻿без брендирования — потеря уникальности продукта.,yandex,['labelsnabj@gmail.com'],"['+375291150615', '+375298800249', '+375339922868']",01-10-2025 16:32:19
3,этикетка производитель,149,https://xn----otbgjjfhdj.xn--p1ai,"Производство самоклеящихся этикеток – основная деятельность промышленного предприятия ООО «Стик-Пром». Кроме того, предприятие изготавливает бирки, этикет ленту и иные товары для промышленной маркировки. Возможна окраска в любые цвета и печать с персонализацией.",yandex,"['zakaz@stick-prom.ru', 'zapros@stick-prom.ru']","['+74993220939', '+77758777582', '+79013832439']",01-10-2025 16:32:19
3,этикетка производитель,149,https://uniflex.by,"Компания «Унифлекс» — ведущий производитель гибкой упаковки, пакетов и самоклеящихся этикеток. Мы являемся лидером белорусского рынка флексографской печати и одной из крупнейших типографий в странах СНГ.",yandex,['info@uniflex.by'],"['+375175003900', '+375175003901']",01-10-2025 16:32:19
3,этикетка производитель,149,https://labelgroup.ru,Производство этикеток - основной вид деятельности Лэйбл групп.,yandex,"['design@labelgroup.ru', 'dolgov@labelgroup.ru', 'info@labelgroup.ru', 'neklyudova@labelgroup.ru', 'petrov@labelgroup.ru', 'services@labelgroup.ru', 'zakaz@labelgroup.ru']","['+74742565610', '+74742565620', '+74742565630', '+78007074069', '+79065934849', '+79266572016', '+79601490289', '+79689067051']",01-10-2025 16:32:19
3,этикетка производитель,149,https://ruroll.ru,"Для производства этикеток мы используем различные материалы, как популярные, так и нестандартные. Самые востребованные этикетки на основе термобумаги для прямой печати или полуглянцевой бумаги для термотрансферной печати (с помощью ленты риббон).",yandex,['info@ruroll.ru'],['+74958259870'],01-10-2025 16:32:19
3,этикетка производитель,149,https://prodavan.by,"Полипропиленовая этикетка - это этикетка, производимая из полимерного материала – полипропиленовой пленки.",yandex,['info@prodavan.by'],"['+375255016878', '+375293117292']",01-10-2025 16:32:19
3,этикетка производитель,149,https://xn--80aesjs5a.xn--p1ai,,yandex,['flaviochat@yandex.ru'],"['+79052682250', '+79119787724']",01-10-2025 16:32:19
3,этикетка производитель,149,https://xn----8sbnbomblssufd3m.xn--p1ai,Этикетки любых типов по ценам от производителя.,yandex,['zakaz@термо-этикетка.рф'],['+74955325812'],01-10-2025 16:32:19
3,этикетка производитель,149,https://mylabel.pro,"По статистике, ежегодный прирост производства цветных этикеток на товары составляет около 7%. Из них самоклеящихся –более половины. Современные самоклеящиеся этикетки снабжены не только нужными сведениями о товаре, продающим текстом, но и штрих-кодом, по которому легко определить состав товара, место его производства, срок годности и многие другие факторы.",yandex,['info@mylabel.pro'],['+74952151544'],01-10-2025 16:32:19
