user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,купить люстру в минске,149,https://massive.by,"Купить недорогую люстру в Минске можно в салоне светильников Massive. Мы предлагаем современные, хрустальные, кованые и другие модели для гостиных, детских комнат, спален, кухонь. Как выбрать люстру? Главное правило при покупке люстры в магазине — выбирать осветительный прибор с учетом того, где он будет размещен.",yandex,"['info@massive.by', 'sales@massive.by']","['+375173630403', '+375291499511', '+375297604922']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://abajur.by,"Потолочные люстры – это светильники, которые монтируются непосредственно на потолок. Они могут использоваться как основное освещение в комнате или в качестве дополнительного источника света. Люстры бывают различных форм, размеров и стилей, что позволяет легко подобрать их для любого интерьера – от классического до современного.",yandex,"['info@xfom.by', 'xfom.market@gmail.com']","['+375225751516', '+375445545064']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://lustore.by,"ИП Анискевич Анастасия Анатольевна УНП 193022682 Свидетельство о государственной регистрации №193022682, выданное 12.02.2024 г. Дата регистрация в торговом реестре 06.02.2018 Банковские реквизиты: р/с BY77ALFA30132E40320010270000 в ЗАО 'Альфа-Банк', БИК: ALFABY2X Республика Беларусь, 220012, г. Минск, пр-т Независимости, д.88.",yandex,['info@lustore.by'],"['+375297491518', '+375447491518']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://domsveta.by,"Покупая люстру в Минске в интернет-магазине «ДомСвета», вам следует обратить внимание на следующие характеристики",yandex,"['domsveta122@mail.ru', 'info@domsveta.by']",['+375293260090'],29-09-2025 22:21:37
3,купить люстру в минске,149,https://eurosvet.by,Если вы затеяли ремонт и планируете купить люстру в Минске – мы с удовольствием поможем Вам в этом вопросе. В нашем каталоге представлен огромный ассортимент изделий в разных стилях от лучших производителей.,yandex,"['stmarket-minsk@yandex.ru', 'stromixx@yandex.ru']","['+375291041196', '+375291195599', '+375291255599', '+375291265599', '+375291522731', '+375291800455', '+375296255599', '+375296650578', '+375296955599', '+375333195599', '+375447310189']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://svetimdoma.by,Купить светильники и люстры в Минске со скидкой до 50%.,yandex,"['svetimdoma@yandex.ru', 'tehnominsk22@mail.ru']","['+375295439967', '+375445357956']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://planetasveta.by,,yandex,"['info@planetasveta.by', 'p_podzhary@planetasveta.by']",['+375293521520'],29-09-2025 22:21:37
3,купить люстру в минске,149,https://mile.by,,yandex,"['astomshop@mail.ru', 'brest@mile.by', 'cc@mile.by', 'dk@mile.by', 'dpo@mile.by', 'ex_spravka@mile.by', 'ex_ttn@mile.by', 'gg@mile-diy.by', 'gt_ttn@mile.by', 'info@mile.by', 'kg@mile.by', 'md@mile.by', 'mm@mile.by', 'ot@mile.by', 'ot_resp@mile.by', 'receptionmile@mail.ru', 'ur@mile.by', 'zh@mile.by']","['+375152555522', '+375162507501', '+375172706556', '+375173011601', '+375173110958', '+375173181333', '+375173475050', '+375173608211', '+375173771393', '+375173880008', '+375173880298', '+375173881055', '+375173881117', '+375173882600', '+375173882608', '+375176556666', '+375256615050', '+375295595050', '+375296337722', '+375447795050']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://importsvet.by,"Бесплатная доставка, богатый выбор светильников и люстр с гарантией.",yandex,['info@importsvet.by'],"['+375297495282', '+375447495282']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://mebelny.by,"Ищете, где купить люстру, которая идеально дополнит ваш интерьер и создаст нужное настроение? Добро пожаловать в «Королевство Сна» – ваш надежный партнер в выборе идеального освещения! У нас вы купите люстру на любой вкус и бюджет: от роскошных хрустальных люстр до стильных и недорогих потолочных моделей. Широкий ассортимент, гарантия качества и выгодные цены ждут вас в Минске и по всей Беларуси!",yandex,['internet@mebelny.by'],"['+375173480937', '+375293554466']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://mirsveta.by,"Если ищете, где посмотреть большой ассортимент светильников и купить люстру в Минске, обращайтесь к нам. Вы можете ознакомиться со всеми товарами или выбрать конкретные параметры, по которым вам подберутся оптимальные варианты. Для того, чтобы купить люстру в зал или другую комнату, выберите количество ламп, стиль светильника, покрытие, площадь освещения и наличие (возможна покупка под заказ).",yandex,['mirsveta00@mail.ru'],"['+375291092662', '+375296502349', '+375299829145', '+375333602349']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://vam-svet.by,"Сегодня каждый может купить люстру в Минске, которая будет полностью соответствовать индивидуальным потребностям покупателя и органично вписываться в существующую обстановку и стиль помещения.",yandex,['vam-svet@bk.ru'],"['+375291766331', '+375296162828']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://luxsvet.by,,yandex,['symphony.s@bk.ru'],"['+375292171999', '+375336694466']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://7745.by,,yandex,"['beznal@7745.by', 'info@7745.by', 'offer@7745.by', 'reklamacii@7745.by']","['+375172151465', '+375172151740', '+375172152626', '+375175127745', '+375259647745', '+375296607745', '+375296647745', '+375296657745', '+375297647745']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://interlamp.by,Купить люстру в Минске в интернет-магазине interlamp.by. Большой каталог люстр с фото и ценами.,yandex,['interlamp.srl@gmail.com'],"['+375447654603', '+375447654605', '+375447654611']",29-09-2025 22:21:37
3,купить люстру в минске,149,https://ambrella.by,,yandex,['info@ambrella.by'],"['+375255032400', '+375259026019']",29-09-2025 22:21:37
