user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,средство по уходу за копытами КРС,225,https://ximiks.ru,"Если вам нужна на дезинфицирующее средство для обработки копыт крупного рогатого скота HOF HEALTHGUARD оптовая цена, то пришлите заявку с реквизитами.",yandex,"['ximiks24@mail.ru', 'ximiks@internet.ru']","['+73512303078', '+74951478999', '+79785768855']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://ultravet.ru,"Средства для обработки и обрезки копыт в широком ассортименте: ножницы, диски, мази, крема. Всё необходимое для ухода за копытами вы найдёте на нашем сайте.",yandex,['zakaz.ultravet@yandex.ru'],"['+74957684435', '+74997077189', '+79258649429', '+79266138011', '+79857684435']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://agro-ferm.ru,Уход за КРС в зимнее время.,yandex,"['5010191@agro-ferm.ru', '5010194@agro-ferm.ru', '5053800@agro-ferm.ru', '5055250@agro-ferm.ru', '6685651@agro-ferm.ru', '6693692@agro-ferm.ru', '9681971@agro-ferm.ru', 'dmitry.tarasov@agro-ferm.ru', 'lebzak@agro-ferm.ru', 'operator@agro-ferm.ru', 'sales@agro-ferm.ru', 'support@agro-ferm.ru', 'svechnikova@agro-ferm.ru', 'vlasova@agro-ferm.ru', 'zakupki2@agro-ferm.ru', 'zakupki@agro-ferm.ru']","['+73852502141', '+78007005621', '+79035053800', '+79035055152', '+79035055250', '+79039680914', '+79039681971', '+79096685621', '+79255050277', '+79258568900', '+79262234763', '+79265010191', '+79265010194', '+79296693692', '+79509607957', '+79652084176']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://yarvet.ru,Каталог Обработка копыт в Интернет-магазине ЯРВЕТ.,yandex,"['e.semenenkov@yarvet.ru', 'k.chelishev@yarvet.ru']","['+78007003097', '+78007005446', '+79225244678', '+79226823701', '+79423508268', '+79687045510', '+79687045528']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://agrovetservis.ru,Концентрированное антисептическое средство на основе глутарового альдегида и ЧАСов для наружной обработки копыт животных на предприятиях животноводческой промышленности с целью профилактики и лечения начальных стадий инфекционных болезней копыт в составе методов комплексной терапии.,yandex,['avsservis@mail.ru'],"['+78612006850', '+78612006851', '+79180258126']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://russkayaferma.ru,Ветеринария и уход за КРС.,yandex,['sale@russkayaferma.ru'],"['+74956625648', '+78005002049']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://eltemiks-vet.ru,"Средства для ухода за копытами животных. Копыта — это роговое образование на конечностях у лошадей и крупного рогатого скота (у мелкого тоже есть). Они выполняют роль естественной опоры, амортизируют нагрузку при движении и защищают конечности от повреждений. Нарушения состояния копыт приводят к хромоте, развитию заболеваний и снижению продуктивности животных.",yandex,['info@eltemiks-vet.ru'],"['+74732045178', '+74732123225']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://agrocon.ru,"Средства для ухода за копытами КРС играют важную роль для поддержания здоровья животных и обеспечения высокой производительности. Преимущества использования средств для ухода за копытами КРС. Улучшение здоровья: регулярный уход за копытами помогает предотвратить травмы, инфекции и другие заболевания.",yandex,['sldir@agrocon.ru'],['+78002012412'],18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://interclean.ru,Средства для обработки копыт животных КРС - купить в Москве. Лучшие цены от 6160 рублей от производителя «Интерклин». Доставка по всей России.,yandex,['inter.clean@interclean.ru'],"['+74954142571', '+74959807120']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://bonagro.by,"Обработка копыт у КРС должна проводиться регулярно с учетом специфики каждого животного. Квалифицированный ветеринарный специалист или особа с опытом работы с КРС должна проводить данную процедуру с использованием дезинфицирующих средств, разработанных специально для использования у КРС. Важно учитывать, что обработка копыт является только одной из составляющих общего ухода за КРС.",yandex,['ooobonagro@mail.ru'],"['+375293824564', '+375293884739']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://pk-izhsintez.ru,"Гигиена копыт средством Italmas Hoof (средство для профилактики болезней копыт). Средство для обработки копыт КРС - цены, описание, применение, отзывы.",yandex,"['bh@pk-izhsintez.ru', 'marketing@pk-izhsintez.ru']","['+73412937750', '+73412937790', '+78002501813', '+78002503440', '+79999999999']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://greenlabltd.ru,Средства для ухода за автомобилем (Серия MOTOR CAR EXPERT) государственных и коммерческих учреждений.,yandex,"['info@greenlabgroup.ru', 'sale@greenlabltd.ru']","['+78003508896', '+79999999999']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://m-ty.ru,"Для здоровья копыт КРС необходимы, как комплекс мер по профилактике, так и своевременное лечение. Профилактика включает в себя соблюдение правил содержания и кормления коров, обеспечение необходимыми добавками для укрепления копытного рога, своевременный клинический осмотр, ножные ванны и обрезка копыт.",yandex,"['buh@m-ty.ru', 'm@m-ty.ru']","['+74732516201', '+74732516766']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://zoovostorg.com,У нас вы можете недорого купить все для КРС оптом и в розницу с большой выгодой для себя.,yandex,"['info@zoovostorg.com', 'sale@zoovostorg.com']","['+74951752510', '+79255108502']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://agrorakurs.ru,Препарат предназначен для обработки копыт КРС с применением пенной станции или пеногенератора СВОЙСТВА Концентрированное средство на основе надуксусной кислоты для использования в виде пены с целью массовой обработки копыт КРС на фермах. Позволяет многократно сократить экономические потери от заболеваний копыт КРС.,yandex,['agrorakurs@gmail.com'],"['+79137382408', '+79999999999']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://vicgroup.ru,"Порядок применения средства в форме аэрозоля для обработки копытец. В благополучных хозяйствах по заболеваниям конечностей заразной этиологии допускается использование Хуф Протект Премиум методом спрея в 1% концентрации. В хозяйствах с проявлением заболеваний конечностей заразной этиологии, приготовленный 2,5% рабочий раствор средства наносится распылением на копытца, соблюдая необходимые меры предосторожности.",yandex,['info@vicgroup.ru'],"['+74952210617', '+74957776767', '+79999999999']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://agripo.by,"ООО ""АгриПО"" - Специализированные средства для обработки копыт КРС в ассортименте. Продажа осуществляется на территории Беларуси и России.",yandex,['info@agripo.by'],"['+375171340091', '+375296999900', '+79517061826']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://liberti-agro.by,"Правильный систематический уход за копытами крупнорогатого скота помогает избежать развития хромоты, появления заболеваний эпидермиса у животных, а также снижения удоя. Профилактические мероприятия направлены на предотвращение появления ламинита, копытной гнили, воспалений ревматического характера или межпальцевого дерматита.",yandex,['info@liberti-agro.by'],"['+375175109361', '+375175109368', '+375291777338', '+375295000992', '+375295000993']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://cleannorm.ru,Концентрированное гигиеническое средство с антимикробным действием «Н-400» предназначено для обработки копыт КРС.,yandex,['info@cleannorm.ru'],['+78126110044'],18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://tian-trade.ru,"Моюще-дезинфицирующий раствор применяется для обработки копыт крупного и мелкого рогатого скота с целью укрепления копытного рога и уплотнения структуры тканей копыта. Состав: Соли алюминия и меди, глутаровый альдегид, катионные ПАВ. Обладает дезинфицирующим свойством в отношении ран подошвы пальца, мякиша, межкопытной щели и венчика копыта; Способствует быстрой грануляции ран; Уплотняет роговую структуру копыта; Образует защитную пленку.",yandex,['info@tian-trade.ru'],"['+74951047017', '+78001002317', '+78003505117']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://cozidanie.ru,Крупный рогатый скот. Обрезка и лечение копыт КРС.,yandex,['contact@cozidanie.ru'],"['+78005512199', '+78126027543']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://ptcagrotech.ru,"Нужно ли мыть копыта коровам перед применением средства? ПТК АгроТех не рекомендует предварительно очищать конечности перед применением средств для обработки копыт, поскольку данная процедура влечет за собой ряд проблем: Согласно исследованиям Найджела Кука, в ходе которых он фиксировал количество испражнений и уровень загрязнения предварительной и основной ванн, в лечебной ванне испражнялось в 1,47 раза больше коров, чем в предварительной.",yandex,"['buh@ptcagrotech.ru', 'info@ptcagrotech.ru', 'komm@ptcagrotech.ru', 'proizvodstvo@ptcagrotech.ru']","['+79022231075', '+79206593033', '+79206593833', '+79206595545', '+79290795128', '+79605387834']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://labfarma.by,"Крупный рогатый скот по всему миру страдает от болезней копыт, а в особенно сильно это отражается на высоко продуктивных породах молочных коров.",yandex,['labfarma8@gmail.com'],"['+375172728703', '+375173735411', '+375296023508', '+375296809003', '+375296811012', '+375336438237', '+79037000202']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://svoefermerstvo.ru,Большой выбор ветеринарных средств для копыт по выгодным ценам от проверенных поставщиков.,yandex,"['office@rshb.ru', 'svoehelp@rshbintech.ru', 'u003eoffice@rshb.ru']",[],18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://zootehnia.ru,Бирки для крс » Бирки для коз и овец » Бирки для свиней » Биркачи » Электронные бирки и считыватели » Микрочипы и считыватели для них » Ошейники » Ножные ленты » Бирки с лазерным нанесением номера Моющие средства и уход за выменем » Для СИП и наружней промывки оборудования » Средства для обработки вымени до доения » Средства для обработки вымени после доения Для ветеринарных специалистов » Шприцы и иглы » Инструментарий » Дозаторы для вакцинаций.,yandex,"['info.zootehnia@gmail.com', 'info@zootehnia.ru']","['+78129204971', '+79117453727']",18-11-2025 18:07:06
3,средство по уходу за копытами КРС,225,https://moyushchie-sredstva.ru,"Компания «ЕВ», являющаяся официальным дистрибьютором моющих средств Апейрон и Vortex в Северо-Западном регионе, предлагает широкий спектр качественных и недорогих средств по уходу за копытами КРС. К сотрудничеству приглашаются оптовые покупатели. В каталоге есть дезинфицирующие, чистящие и моющие средства.",yandex,['8ev@8ev.ru'],"['+74994951215', '+78005501187', '+78122453887', '+79818847380']",18-11-2025 18:07:06
