user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,паллеты от производителя,149,https://palletby.by,"Мы занимаемся производством высококачественных деревянных поддонов и предлагаем купить паллеты по наиболее выгодным ценам!Мы находимся рядом с МКАД, неподалеку от удобного выезда на трассу М6, по адресу Минск, пр-т Партизанский 168, корпус 2. Наша компания занимает площадь более 3000 м2, что дает нам возможность хранить поддоны как в крытом складе, так и на открытой площадке.",yandex,['zakaz@palletby.by'],"['+375173995574', '+375293033326', '+375293077700']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://europoddon.by,,yandex,['palettyuk@mail.ru'],"['+375296788786', '+375445003330']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://paltorg.by,Преимущества собственного производства поддонов и паллет.,yandex,['3999393@gmail.com'],['+375293999393'],16-10-2025 01:55:22
3,паллеты от производителя,149,https://belpallet.by,"Преимущества новых, сухих поддонов. Хранение паллет без потери их качества: нет синевы и плесени.",yandex,['specwoodtrans@mail.ru'],['+375296403403'],16-10-2025 01:55:22
3,паллеты от производителя,149,https://pallet.by,"Поддоны(паллеты) деревянные, европоддоны(EURO, EUR/EPAL, евро поддоны) - современный вид транспортной тары, используемый для перемещения и хранения товаров.",yandex,['info@pallet.by'],"['+375291161999', '+375291505999', '+375293124555']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://poddon.by,"Все бывшие в употреблении паллеты проходят предпродажную подготовку и строгий контроль качества, что позволяет их многократно использовать до 10 транспортных циклов. Используя бывшие в употреблении поддоны, Вы экономите до 40% по сравнению с покупкой новых паллетов, и, таким образом, уменьшаете накладные расходы своей компании.",yandex,['info@poddon.by'],"['+375173160040', '+375173160041', '+375293530033', '+375296363302', '+375296516363']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://semaldrev.by,"Для производства поддонов используется линия от компании «Vector», мощностью до 300 единиц ежечасно. Наличие собственного грузового автопарка даёт возможность оперативно доставлять готовую продукцию покупателям практически в любую точку мира.",yandex,['semaldrev@mail.ru'],"['+375164660208', '+375259302540', '+375291394396', '+375296126274', '+74828447821', '+74859711412']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://poddony.by,"Изготовление деревянных поддонов в Минске Паллеты из натуральной древесины, выполненные по чертежам заказчика, изготавливаются из сухих хвойных пород 1 и 2 сорта. Используемый нами материал подвергается термической и фитосанитарной обработке, освобождается от сучьев и коры.",yandex,['monteinvest@mail.ru'],"['+375173990805', '+375293424564']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://palletgrad.by,,yandex,['pallet_grad@mail.ru'],"['+375293776667', '+375296467218', '+375296567738', '+375445655214']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://lumber.by,Производство поддонов по лицензии EPAL.,yandex,"['hleb.krachko@lumber.by', 'lumber@lumber.by']","['+375162559819', '+375295927782', '+375297274144']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://rufbel.com,,yandex,['info@rufbel.com'],['+375298448447'],16-10-2025 01:55:22
3,паллеты от производителя,149,https://poddon-pallet.by,"Компания ЧТУП «Лес центральный» - торговая марка ""Паллет Ярд"" - производитель и поставщик поддонов в широком ассортименте В линейку поддонов входят разнообразные по виду, качеству, размерам изделия. Компания имеет свое производство для изготовления поддонов по европейским стандартам, соответствующим ГОСТ 9557-87, размером 1200х800, грузоподъемностью 1000 – 2500 кГ.",yandex,['info@poddon-pallet.by'],"['+375291505999', '+375293661777']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://aist-srub.by,Паллеты (поддоны) производятся из качественной древесины хвойных и лиственных пород. Обязательно учитываются установленные технические характеристики. Предоставляются необходимые документы и сертификаты качества. В нашей компании можно заказать ремонт и реконструкцию бывших в употреблении поддонов. Срок реализации каждого заказа – от 1 дня.,yandex,['info@aist-srub.by'],['+375293163230'],16-10-2025 01:55:22
3,паллеты от производителя,149,https://poddonpallet.by,"Изготавливаем поддоны под заказ любых размеров, с любым количеством досок в основании, сплошных или с расстоянием, двухзаходные или четырехзаходные, что обеспечивает возможность ввода вилочного захвата только с двух противоположных сторон, или ввод вил погрузчика с четырех сторон. По пожеланию заказчика можем изготовить поддон с основанием с 4 поперечными досками.",yandex,['poddonpallet11@gmail.com'],"['+375296421360', '+375298881022']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://forestbobrgrad.by,"Поддоны любой сложности, готовы изготавливать поддоны по чертежа заказчика. ООО «ФорестБобрГрад» располагает собственным производством деревянных поддонов. Используя современное оборудование, мы изготавливаем паллеты в строгом соответствии с требованиями заказчика.",yandex,['pohtal2009@mail.ru'],"['+375225706007', '+375296847271']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://polymerbelplus.by,"Наша компания предлагает широкий ассортимент полимерной продукции - это европоддон (пластиковый поддон, паллет), тара полимерная. У Нас вы можите преобрести тару из полимерных материалов собственного производства, а так же от лучших производителей полимерной тары.",yandex,['polymerbelplus@mail.ru'],"['+375295332077', '+375447202374']",16-10-2025 01:55:22
3,паллеты от производителя,149,https://lambermil.by,"Изготовление деревянных поддонов, паллет. Продажа на экспорт и по Беларуси.",yandex,"['lambermil.by@gmail.com', 'lambermil@inbox.ru']","['+375163644448', '+375296431314', '+375298038285']",16-10-2025 01:55:22
