user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,стулья из дерева купить,149,https://vishop.by,"Виды деревянных стульев. Прежде чем приобрести деревянный стул, определитесь с желаемым типом, формой, материалом. В нашем интернет-магазине представлены следующие варианты: Классический: стул с мягким или полумягким сиденьем и жесткой спинкой. Подойдет для кухни, часто их приобретают на дачу из-за универсальности. Венский.",yandex,"['info@vishop.by', 'vishop.by@mail.ru']","['+375336656474', '+375447513401', '+375447606474']",26-11-2025 18:46:49
3,стулья из дерева купить,149,https://virando.by,"Деревянные стулья отличаются от всех остальных видов стульев благодаря своим уникальным свойствам и характеристикам: Массив дерева - это прежде всего экологически чистый материал, безопасный для здоровья и окружающей среды. Практичность. Древесина, испльзуемая в производстве мебели отличается высокой стойкостью к влажности и не склонна к гниению....",yandex,['info@virando.by'],"['+375255498715', '+375297334860', '+375333520772']",26-11-2025 18:46:49
3,стулья из дерева купить,149,https://artskver.by,"Стулья из массива дерева. Стулья — это самое классическое, что можно себе представить.",yandex,['info@massiv-tut.by'],"['+375296961011', '+375296961022', '+375296971011']",26-11-2025 18:46:49
3,стулья из дерева купить,149,https://pmc.by,"ЧПУП ""Поставский мебельный центр"" изготавливает мебель (столы и стулья) из срощенного массива дуба. Мебель из натурального массива надежная, долговечная и практичная. Столы и стулья из массива дуба прекрасно сочетаются с мебелью из других материалов. Широкая палитра цветов позволит Вам подобрать мебель для любого интерьера.",yandex,['info@pmc.by'],['+375215527251'],26-11-2025 18:46:49
3,стулья из дерева купить,149,https://belmassiv.by,"Здесь вы сможете легко найти и купить стулья из массива дерева в Минске. В нашем магазине красивые и элегантные деревянные стулья, которые станут прекрасным дополнением к любому интерьеру.",yandex,['belmassiv@belmassiv.by'],"['+375296916336', '+375296916936', '+375333536336']",26-11-2025 18:46:49
3,стулья из дерева купить,149,https://akshome.by,,yandex,"['opt@akshome.by', 'reclamation@aks.by', 'zakaz@akshome.by']","['+375162210465', '+375162539928', '+375291357511', '+375291530063', '+375291804706', '+375291804712', '+375293707878', '+375295386130', '+375295905956', '+375297627529', '+375297634122', '+375333707878', '+375333774699', '+375445006688', '+375445147211', '+375445147234', '+375445327095', '+375445445080']",26-11-2025 18:46:49
3,стулья из дерева купить,149,https://gomeldrev.by,"Купить стулья из массива дерева в Минске, изготовленные из настоящего экологически чистого дерева, для любого интерьера, можно у производителя.",yandex,['info@gomeldrev.by'],"['+375175516200', '+375232257316', '+375232257321', '+375232257323', '+375232257324', '+375232257362', '+375232257363', '+375232257392', '+375232257393', '+375232257403', '+375232257406', '+375445504000']",26-11-2025 18:46:49
3,стулья из дерева купить,149,https://mebelart.by,,yandex,['sale@mebelart.by'],"['+375173601094', '+375173737456', '+375296970606', '+375296980606', '+375336980606']",26-11-2025 18:46:49
3,стулья из дерева купить,149,https://alesan.by,"Стулья деревянные из массива. Натуральное дерево в интерьере – вечная классика, которая всегда остается в тренде.",yandex,['alesanby@mail.ru'],"['+375173470909', '+375291115077', '+375293470909']",26-11-2025 18:46:49
3,стулья из дерева купить,149,https://moderno.by,"Благодаря уникальным свойствам древесины, стулья из дерева характеризуются прочностью и надежностью, экологичностью и красотой. В нашем интернет-магазине представлены лучшие деревянные стулья от производителей из Беларуси, Польши, России, Китая, Малайзии. Удобный поиск по основным характеристикам позволит быстро подобрать идеальные деревянные стулья для Вашего дома.",yandex,['info@moderno.by'],"['+375333520772', '+375445810272']",26-11-2025 18:46:49
