user_id,query,region,domain,description,engine,emails,phones,dateOfSearch
3,поставщик кальций хлористый пищевой,149,https://sirodelie.by,"Хлористый кальций (или хлорид кальция) применяется в сыроделии для лучшего образования молочного сгустка и увеличения выхода готового продукта ― улучшает консистенцию и свёртываемость молока, а также обогащает его кальцием.",yandex,"['sirodelie-by@hotmail.com', 'sirodelieby@yandex.by']","['+375295739132', '+375336371584', '+375447739727']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://kastmiron.by,Хлористый Кальций Пищевой: Надежный поставщик – Кастмирон.,yandex,['info@kastmiron.by'],"['+375291244478', '+375296028656']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://bvbalyans.by,Кальций хлористый пищевой - разновидность соли кальция в виде порошка.,yandex,"['info@bvbalyans.by', 'msk@bvb-alyans.ru', 'suply@bvb-alyans.ru']","['+375173368520', '+74994902031']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://katelon.by,"Кальций хлорид (кальций хлористый) Е509 – пищевая добавка, которая широко используется в пищевой промышленности, особенно в производстве молочной продукции.",yandex,['info@katelon.by'],"['+375173993170', '+375291380600']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://atomsm.by,"Кальций хлористый пищевой - это продукт, который используется в пищевой промышленности для консервирования и улучшения вкусовых качеств продуктов.",yandex,['sales@atomsm.by'],['+375447831010'],01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://rtholding.ru,"""Русский Торговый Холдинг"" является ведущим поставщиком оптовых продаж химической промышленности и нефтепродуктов. Мы обеспечиваем прямые поставки продукции от ведущих заводов, предлагая широкий спектр продукции. Кальций хлористый пищевой E509 от ""Русский Торговый Холдинг"" соответствует стандартам качества ГОСТ, ТУ, обеспечивая высокую степень чистоты и безопасности в соответствии с отраслевыми требованиями.",yandex,['info@rtholding.ru'],['+78312821090'],01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://promportal.su,Кальций хлористый пищевой в лучших интернет-магазинах в Беларуси. Promportal.su предлагает выбрать и купить по выгодным ценам из 14 предложений.,yandex,['info@promportal.su'],['+74951907420'],01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://a8800.ru,Кальций хлористый гранулированный пищевой оптом по цене 74-78 руб/кг фасовкой 25 кг.,yandex,"['a@a8800.ru', 'kzn@a8800.ru', 'moscow@a8800.ru', 'nizhnij-novgorod@a8800.ru', 'spb@a8800.ru']","['+74951505259', '+78005558927', '+78124253851', '+78312601559', '+78432121589']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://himimport.by,"Так же хлорид кальция применяется в пищевой промышленности как пищевая добавка E509, основное применение – отвердитель в продуктах питания. При производстве сыра, творога, сухого молока; джема, желе, мармелада; консервированных овощей и фруктов регламентируется использование пищевой добавки Е509 (хлористый кальций или хлорид кальция).",yandex,['sbt@himimport.by'],"['+375173360262', '+375173360263', '+375173360267', '+375173360496', '+375173360497', '+375175036235', '+375447872020']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://mir-agro.by,Транспортирование Кальций хлористый (Хлорид кальция): Кальций хлористый технический перевозят всеми видами транспорта в соответствии с правилами перевозок грузов. Хранение Кальций хлористый (Хлорид кальция): Кальций хлористый пищевой (E 509) хранят в крытых складских помещениях в упаковке изготовителя.,yandex,"['oooagrobel@gmail.com', 'oooagrobel@mail.com']","['+375291169185', '+375296260157', '+375296623849', '+375297414476', '+375336740954']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://chempack.ru,"Кальций хлористый пищевой применяется в пищевой промышленности: при производстве сыра, творога, сухого молока; джема, желе, мармелада; консервированных овощей и фруктов.",yandex,['zakaz@chempack.ru'],"['+74951251835', '+74952343799', '+79165546356']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://bsksalt.ru,Пищевая добавка Е509 - Кальций хлористый применяется во всех сферах пищевой промышленности. Хлористый кальций от БСК является безопасным продуктом и соответствует высочайшим критериям качества и чистоты.,yandex,"['555@bsk1.ru', '777@bsk1.ru']","['+74722205231', '+79803863131']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://pr-agro.ru,Кальций хлористый пищевой применяют в пищевой промышленности.,yandex,['agro@pr-agro.ru'],['+74951980797'],01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://xn--c1acbdje2abnav6d.xn--p1ai,"Кальций хлористый (E509) используется в пищевой промышленности и в качестве удобрения в тепличных хозяйствах. Добавка отличается содержанием основного вещества не менее 95%, отсутствием вредных примесей и удобной влагостойкой упаковкой в полиэтиленовых мешках по 25 кг. Кальциевая соль соляной кислоты, реализуется в виде гранул, кристаллического порошка или чешуек.",yandex,"['buh@td-nn.ru', 'log@spthim.ru', 'sale@td-nn.ru', 'snab@td-nn.ru']","['+78314141020', '+79050121080', '+79050129060']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://gomelhimtorg.by,"Раствор кальция хлористого пищевого с концентрацией 33-34,5%. Добавка пищевая комплексная «Кальций хлористый жидкий» (Е509) изготавливается по ТУ ВY 400048086.038-2021 в соответствии с требованиями Технических регламентов Таможенного союза: ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств»",yandex,['info@gomelhimtorg.by'],"['+375232257052', '+375232314256', '+375232314331', '+375232314359', '+375232314376', '+375232314393', '+375232314395', '+375232316403', '+375232316404', '+375232316406', '+375232916177', '+375291883960', '+375293955390']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://belhim.com,,yandex,"['admin@belhim.by', 'buh@belhim.by', 'chernov@belhim.by', 'fan@belhim.by', 'info@belhim.by', 'kadr@belhim.by', 'laki@belhim.by', 'market@belhim.by', 'mb@belhim.by', 'naliv@belhim.by', 'npr@belhim.by', 'pak@belhim.by', 'plan@belhim.by', 'pm@belhim.by', 'polimer1@belhim.by', 'pravo@belhim.by', 'prod@belhim.by', 'prods@belhim.by', 'pto@belhim.by', 'reahim@belhim.by', 'soda@belhim.by', 'soltan@belhim.by', 'sv@belhim.by', 'ved@belhim.by']","['+375171661605', '+375171675500', '+375171675550', '+375171675552', '+375171675558', '+375171676101', '+375171677705', '+375171677714', '+375171677715', '+375171677721', '+375171677725', '+375171677735', '+375171677738', '+375171677740', '+375171677754', '+375171677758', '+375171677760', '+375171677765', '+375171677769', '+375171677781', '+375171677783', '+375171677795', '+375173522267', '+375173780831', '+375173788310', '+375175121683', '+375175121687', '+375175121688', '+375175173120', '+375175173122', '+375175173130', '+375175553077', '+375293062828']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://logosib.ru,Кальций хлористый пищевой (добавка пищевая Е 509).,yandex,"['haritonova@logosib.ru', 'irk@logosib.ru', 'irkutsk@logosib.ru', 'kazakov@logosib.ru', 'lef@logosib.ru', 'mail@logosib.ru', 'sales1@logosib.ru', 'sales2@logosib.ru', 'sales3@logosib.ru', 'savelyeva@logosib.ru', 'sychev@logosib.ru']","['+73833343434', '+73952434840', '+73952475730', '+73952608026', '+78002001166', '+79030882516', '+79059513963', '+79059514738', '+79059515463', '+79059515539', '+79059515714', '+79059516196', '+79059516234', '+79641102467', '+79641102468']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://emkolbaski.by,"Кальций хлористый (хлорид кальция) - пищевая добавка E 509, применяется в пищевой промышленности при производстве сыра, творога, сухого молока, джема, желе, мармелада, консервированных овощей и фруктов.",yandex,['info@emkolbaski.by'],['+375445601515'],01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://belchimset.by,"Жидкий хлористый кальций транспортируют в железнодорожных или автомобильных цистернах. Хлористый кальций, упакованный в мешки, стальные барабаны, металлические бочки, по железной дороге транспортируют крытыми железнодорожными вагонами, упакованный в мягкие специализированные контейнеры – полувагонами.",yandex,['info@belchimset.by'],"['+375173638878', '+375296920176']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://agrobelarus.by,"Применение: Хлорид кальция применяется в пищевой промышленности как пищевая добавка E509, основное применение – отвердитель в продуктах питания.",yandex,['info@agrobelarus.by'],"['+375256945456', '+375293024002', '+375333870805']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://prom-him1.ru,"Кальций хлористый пищевой (пищевая добавка Е509) применяют в пищевой промышленности при изготовлении джема, желе, мармелада, консервированных фруктов и овощей, в мясной, молочной промышленности при изготволении творога, сыра, сухого молока, в производстве безалкогольных напитков и пивоваренной промышленности для реминерализации воды.",yandex,"['9250507077@mail.ru', 'himpromind@mail.ru']","['+74956644456', '+74956644457', '+79250507077']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://karpovchem.ru,"Кальция хлорид 2-водный, чистый, для пищевой промышленности, пищевая добавка Е 509 СаСl2 · 2Н2О.",yandex,"['belotserkovskaya.aa@karpovchem.ru', 'info@karpovchem.ru', 'nadtochey.vv@karpovchem.ru', 'plitman.sv@karpovchem.ru', 'shestova.lm@karpovchem.ru']","['+78554927652', '+78554927655', '+78554927656', '+78554927657', '+78554927675', '+78554927696', '+78554927943', '+79061104620', '+79061108607', '+79625740346', '+79625740356', '+79673700967']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://shimp.ru,"Кальций хлористый, изготовленный специально для применения в пищевой промышленности, обладает рядом преимуществ, в числе которых.",yandex,['trade@shimp.ru'],"['+74955104236', '+74955104249', '+74955148061', '+74992700168', '+77713416004', '+79999999999']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://zdoroveevo.ru,"*Оптимальную дозу хлорида кальция устанавливают в зависимости от свойств молока с учетом показаний прибора для сычужной пробы и характером сычужного свертывания молока в предыдущих случаях. Инструкция по применению: перед внесением в молоко, развести нужное количество кальция в небольшом количестве теплой (+85⁰С) кипяченой воды.",yandex,['order@zdoroveevo.ru'],"['+73432269435', '+73832427035', '+74952412564', '+74994031812', '+78003027265', '+78122411981', '+78312310635']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://him-tech.ru,"Купить Кальций хлористый гранулированный пищевой оптом и в розницу с доставкой по России. Поставщик химических продуктов и сырья ООО ""Химические Технологии"".",yandex,['himtexru@yandex.ru'],"['+78002506999', '+79196310999']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://100ing.ru,Купить Кальций хлористый пищевой безводный. Москва.,yandex,['info@stoing.ru'],"['+74956400340', '+78007070314', '+78126400314']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://servisplus.ru,FudixTM — пищевой кальций хлористый безводный гранулированный с содержанием основного вещества 95%—98% соответствует требованиям СанПин 2.3.21078-01,yandex,"['post@servisplus.ru', 'servispl@mail.ru']","['+78442388416', '+78442429600']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://ugagro.com,Кальций хлористый - пищевая добавка. Входит в состав продуктов питания. По классификации принадлежит к группе эмульгаторов.,yandex,['info@ugagro.com'],"['+78612139139', '+79385352244']",01-10-2025 00:47:32
3,поставщик кальций хлористый пищевой,149,https://milora.ru,"Хлористый кальций применяется для производства сыра и мягкого творога, компенсирует потерю кальция при пастеризации и его низкое содержание в молоке",yandex,['info@ingredients.ru'],"['+74959569801', '+79104836486']",01-10-2025 00:47:32
